title,date,rating,review
"Perfect Margherita!",2024-01-05,5,"Best margherita I've ever had. Fresh basil, perfectly charred crust, and the tomato sauce was spot on."
"Disappointing delivery",2024-01-12,2,"Pizza arrived cold and the toppings were sparse. Expected much better for the price."
"Great family night out",2024-01-20,4,"Loved the atmosphere and the pepperoni pizza was delicious. Slightly long wait time but worth it."
"Average at best",2024-02-03,3,"Nothing special. The dough was a bit doughy and undercooked in the middle. Decent flavor though."
"Absolutely amazing BBQ Chicken",2024-02-14,5,"The BBQ chicken pizza was outstanding. Smoky sauce, generous toppings, and crispy crust. Will order again!"
"Too salty",2024-02-22,2,"The Hawaiian pizza was overly salty. The ham seemed processed and low quality."
"Solid lunch spot",2024-03-01,4,"Quick service and good value for money. The veggie pizza had fresh toppings and a nice thin crust."
"Best in town!",2024-03-10,5,"We've tried every pizza place in the area and this one tops them all. The four cheese pizza is divine."
"Burnt edges",2024-03-18,3,"Taste was good but the edges were quite burnt. Needs better oven temperature control."
"Fresh ingredients",2024-03-25,5,"You can really taste the quality. Everything felt fresh and homemade. The prosciutto pizza is a must-try."
"Mediocre experience",2024-04-02,3,"Service was slow and the pizza was lukewarm. The toppings were okay but nothing memorable."
"Fantastic thin crust",2024-04-11,5,"Exactly how pizza should be — thin, crispy, light. The mushroom truffle pizza blew my mind."
"Not worth the hype",2024-04-19,2,"Heard so much about this place but was let down. Greasy base and bland sauce."
"Good but pricey",2024-04-28,3,"Quality is there but the portion sizes don't justify the cost. Good as an occasional treat."
"Kids loved it",2024-05-05,4,"Great for families. Kids meal pizzas are perfectly sized and the staff were friendly and patient."
"Soggy base",2024-05-13,2,"The base was completely soggy, especially in the center. Too much sauce and undercooked."
"Incredible crust flavor",2024-05-21,5,"The crust alone is worth the visit. Seasoned perfectly with herbs and olive oil. Toppings were generous."
"Consistent quality",2024-05-30,4,"Been coming here for years and the quality never drops. The classic pepperoni is always reliable."
"Spicy hot wings combo was great",2024-06-07,4,"Ordered the pizza and wings combo. Wings were crispy and the meat lovers pizza paired perfectly."
"Worst pizza I've had",2024-06-15,1,"Raw dough, cold cheese, and the delivery took over 90 minutes. Completely unacceptable."
"Hidden gem",2024-06-23,5,"Stumbled upon this place by chance. Absolutely stunning wood-fired pizza. Already recommended to 10 friends."
"Decent but forgettable",2024-07-01,3,"It was fine. Nothing stood out positively or negatively. Would eat here if nothing else is available."
"Great vegan options",2024-07-09,4,"Impressed by the vegan menu. The vegan cheese actually melted well and the roasted veggie topping was excellent."
"Staff were rude",2024-07-17,2,"Food was okay but the staff were dismissive and got our order wrong. Won't be returning."
"Superb Sunday lunch",2024-07-25,5,"Came for Sunday lunch with family. Generous portions, excellent wine, and the pizza was outstanding."
"Gluten free option available",2024-08-02,4,"Appreciated the gluten-free base option. Tasted great and didn't feel like a compromise at all."
"Hit and miss",2024-08-10,3,"First visit was excellent, second was average. Inconsistency is the only issue with this place."
"Perfect date night spot",2024-08-18,5,"Romantic setting, attentive service, and the pizza was exceptional. The truffle pizza was worth every cent."
"Delivery was quick",2024-08-26,4,"Ordered online and food arrived in 25 minutes. Pizza was still hot and tasted fresh. Impressive."
"Dough needs work",2024-09-03,2,"The toppings are good but the dough is too thick and dense. Feels like eating bread with sauce."
